Student,Roll number,Exam group,Batch,Subject,Marks,Grading level,Remarks
2013-1060,03,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1143,75,QUIZ-I,01 - 01-R 2016-17,CS-01,7.0,B+,
2014-1262,17,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1135,58,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1003,53,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1000,01,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2015-1425,08,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1075,66,QUIZ-I,01 - 01-R 2016-17,CS-01,9.0,A+,
2013-1042,61,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1134,13,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2015-1351,12,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2014-1196,15,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2014-1239,84,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2012-0989,21,QUIZ-I,01 - 01-B 2016-17,CS-01,9.0,A+,
2016-1501,91,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2015-1320,20,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1029,59,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1126,70,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1078,67,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1142,74,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1058,64,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2015-1436,51,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2012-0996,88,QUIZ-I,01 - 01-B 2016-17,CS-01,8.5,A,
2013-1130,11,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1106,06,QUIZ-I,01 - 01-B 2016-17,CS-01,9.0,A+,
2014-1274,54,QUIZ-I,01 - 01-B 2016-17,CS-01,9.0,A+,
2014-1285,05,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2015-1312,81,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1023,57,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2016-1477,69,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1053,63,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2015-1348,89,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1059,65,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1011,02,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1178,71,QUIZ-I,01 - 01-B 2016-17,CS-01,9.0,A+,
2014-1169,82,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2014-1149,79,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2013-1048,62,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2014-1220,16,QUIZ-I,01 - 01-B 2016-17,CS-01,10.0,A+,
2012-0973,66,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2013-1047,13,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2012-0886,51,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2012-0895,04,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2015-1355,56,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2015-1379,18,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2015-1323,85,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2015-1397,89,QUIZ-I,02 - 02-Pur 2016-17,CS-02,8.0,A,
2015-1378,71,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2015-1442,92,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2012-0937,61,QUIZ-I,02 - 02-Pur 2016-17,CS-02,8.0,A,
2012-0925,57,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2013-1039,78,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2012-0964,65,QUIZ-I,02 - 02-Pur 2016-17,CS-02,7.0,B+,
2012-0987,70,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2015-1305,74,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2015-1456,22,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2016-1513,06,QUIZ-I,02 - 02-Pur 2016-17,CS-02,9.5,A+,
2012-0884,02,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2013-1141,17,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2012-0979,68,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2013-1116,81,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2012-0986,69,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2014-1204,73,QUIZ-I,02 - 02-Pur 2016-17,CS-02,8.0,A,
2012-0929,60,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2013-1045,16,QUIZ-I,02 - 02-Pur 2016-17,CS-02,10.0,A+,
2013-1044,12,QUIZ-I,02 - 02-Pur 2016-17,CS-02,9.0,A+,
2015-1424,20,QUIZ-I,02 - 02-Pur 2016-17,CS-02,8.0,A,
